PO_ID,Supplier_ID,Raw_Material_ID,Order_Date,Order_Quantity,Unit_Cost,Delivery_Date_Planned,Delivery_Date_Actual,Total_Cost
PO000067,SUP00029,PROD00099,2021-02-26,10,54.93372189836193,2021-03-16,2021-03-17,549.3372189836193
PO000068,SUP00074,PROD00126,2022-05-16,8,32.20955544408534,2022-06-02,2022-06-07,257.6764435526827
PO000069,SUP00044,PROD00011,2023-11-11,11,6.45700948529552,2023-11-23,2023-11-20,71.02710433825072
PO000070,SUP00055,PROD00187,2021-09-25,9,26.04039357416204,2021-10-09,2021-10-06,234.36354216745835
PO000071,SUP00073,PROD00103,2023-10-25,8,75.7998938279586,2023-11-05,2023-11-11,606.3991506236688
PO000072,SUP00071,PROD00015,2021-07-19,11,18.160822116237767,2021-08-09,2021-08-12,199.76904327861544
PO000073,SUP00070,PROD00179,2023-09-24,13,49.23265262646926,2023-10-05,2023-10-09,640.0244841441004
PO000074,SUP00099,PROD00075,2022-03-07,3,29.141693665212653,2022-03-20,2022-03-19,87.42508099563796
PO000075,SUP00015,PROD00038,2021-07-26,12,52.34298624776344,2021-08-06,2021-08-09,628.1158349731613
PO000076,SUP00017,PROD00029,2023-07-07,11,66.52607691374283,2023-07-23,2023-07-22,731.7868460511711
PO000077,SUP00099,PROD00089,2023-12-26,11,36.00403705570696,2024-01-11,2024-01-09,396.0444076127766
PO000078,SUP00025,PROD00009,2023-12-27,7,38.56001884486278,2024-01-18,2024-01-20,269.9201319140395
PO000079,SUP00024,PROD00018,2022-06-18,7,44.56591788276836,2022-07-03,2022-07-07,311.9614251793785
PO000080,SUP00027,PROD00141,2023-02-12,12,18.788863339446017,2023-02-27,2023-02-28,225.4663600733522
PO000081,SUP00033,PROD00114,2021-10-14,12,73.11642872063118,2021-11-01,2021-11-06,877.3971446475741
PO000082,SUP00021,PROD00180,2022-08-31,12,45.98275139047904,2022-09-21,2022-09-18,551.7930166857484
PO000083,SUP00016,PROD00107,2023-03-21,10,31.95322768739648,2023-04-14,2023-04-16,319.5322768739648
PO000084,SUP00027,PROD00103,2024-02-06,10,46.81274142120843,2024-02-17,2024-02-19,468.1274142120843
PO000085,SUP00079,PROD00183,2022-04-16,16,71.10349998490581,2022-04-26,2022-04-26,1137.655999758493
PO000086,SUP00004,PROD00100,2023-12-05,15,39.61763727238724,2023-12-27,2023-12-24,594.2645590858086
PO000087,SUP00075,PROD00055,2022-02-26,9,19.44925483738639,2022-03-17,2022-03-16,175.0432935364775
PO000088,SUP00015,PROD00027,2023-02-25,8,75.33470562584671,2023-03-11,2023-03-11,602.6776450067737
PO000089,SUP00087,PROD00144,2023-03-17,13,79.13358569466276,2023-04-06,2023-04-06,1028.7366140306158
PO000090,SUP00078,PROD00091,2023-09-22,13,67.89575418936816,2023-10-06,2023-10-06,882.6448044617861
PO000091,SUP00051,PROD00184,2022-07-07,13,46.64623197166737,2022-07-30,2022-08-01,606.4010156316758
PO000092,SUP00040,PROD00176,2024-04-04,9,41.16139778150614,2024-04-27,2024-05-01,370.45258003355525
PO000093,SUP00017,PROD00052,2021-03-18,10,37.949678856455876,2021-04-09,2021-04-15,379.49678856455876
PO000094,SUP00014,PROD00180,2023-01-08,13,23.473933298333,2023-01-20,2023-01-21,305.161132878329
PO000095,SUP00084,PROD00043,2023-08-15,5,54.93338332446976,2023-09-04,2023-09-09,274.6669166223488
PO000096,SUP00022,PROD00171,2022-10-02,11,69.91603043722007,2022-10-20,2022-10-17,769.0763348094208
PO000097,SUP00046,PROD00095,2021-12-02,15,9.03386814823472,2021-12-25,2021-12-22,135.5080222235208
PO000098,SUP00094,PROD00136,2021-08-03,7,26.02024721678537,2021-08-18,2021-08-24,182.1417305174976
PO000099,SUP00032,PROD00174,2021-06-28,12,40.562585443755985,2021-07-14,2021-07-16,486.75102532507185
PO000100,SUP00019,PROD00159,2023-05-05,13,20.361791464841676,2023-05-26,2023-05-23,264.7032890429418
PO000101,SUP00065,PROD00084,2022-08-05,9,17.315159371744222,2022-08-25,2022-08-31,155.836434345698
PO000102,SUP00023,PROD00014,2021-03-31,18,65.44186978079124,2021-04-23,2021-04-28,1177.9536560542422
PO000103,SUP00085,PROD00074,2022-06-04,12,45.50837494261004,2022-06-24,2022-06-22,546.1004993113205
PO000104,SUP00042,PROD00037,2024-03-30,14,78.50162719644034,2024-04-09,2024-04-13,1099.0227807501647
PO000105,SUP00038,PROD00137,2023-12-06,9,5.083045158213941,2023-12-18,2023-12-18,45.74740642392547
PO000106,SUP00031,PROD00129,2021-09-01,10,73.54353509120756,2021-09-24,2021-09-21,735.4353509120756
PO000107,SUP00027,PROD00069,2021-04-17,10,65.15965563870485,2021-05-04,2021-05-10,651.5965563870485
PO000108,SUP00026,PROD00036,2024-03-04,12,73.39673951092482,2024-03-28,2024-03-28,880.7608741310978
PO000109,SUP00015,PROD00117,2023-09-06,13,6.5698577967349205,2023-09-29,2023-10-02,85.40815135755396
PO000110,SUP00018,PROD00139,2022-05-18,7,65.9434692036551,2022-06-11,2022-06-08,461.60428442558566
PO000111,SUP00090,PROD00148,2022-07-24,15,26.39977790822692,2022-08-07,2022-08-10,395.9966686234038
PO000112,SUP00063,PROD00022,2021-06-26,17,51.53747540508751,2021-07-06,2021-07-03,876.1370818864877
PO000113,SUP00025,PROD00006,2024-02-02,9,36.551375621021954,2024-02-22,2024-02-25,328.9623805891976
PO000114,SUP00078,PROD00147,2021-04-02,10,75.86887778014145,2021-04-23,2021-04-27,758.6887778014145
PO000115,SUP00005,PROD00153,2022-11-12,18,12.653372532485017,2022-11-22,2022-11-27,227.76070558473032
PO000116,SUP00066,PROD00176,2021-06-18,10,32.673530165496885,2021-07-03,2021-07-09,326.73530165496885
PO000117,SUP00078,PROD00161,2023-12-26,8,5.0876208582026,2024-01-07,2024-01-06,40.7009668656208
PO000118,SUP00035,PROD00018,2021-04-29,7,58.59979048964755,2021-05-20,2021-05-20,410.1985334275329
PO000119,SUP00081,PROD00012,2022-06-01,11,69.28331997768574,2022-06-15,2022-06-20,762.1165197545431
PO000120,SUP00034,PROD00114,2022-04-29,9,15.796085346151864,2022-05-21,2022-05-21,142.16476811536677
PO000121,SUP00067,PROD00165,2022-12-06,10,49.68989595713812,2022-12-26,2022-12-31,496.89895957138117
PO000122,SUP00057,PROD00012,2022-05-30,14,19.815473449609463,2022-06-17,2022-06-19,277.4166282945325
PO000123,SUP00086,PROD00151,2023-07-01,5,13.359208228574394,2023-07-18,2023-07-22,66.79604114287197
PO000124,SUP00090,PROD00010,2023-12-05,5,49.23835265002956,2023-12-22,2023-12-25,246.1917632501478
PO000125,SUP00097,PROD00115,2022-07-18,7,18.783316836702404,2022-08-08,2022-08-12,131.48321785691684
PO000126,SUP00056,PROD00144,2024-03-19,17,35.69292957589967,2024-04-01,2024-04-05,606.7798027902944
PO000127,SUP00014,PROD00017,2022-01-31,7,43.47354521490157,2022-02-18,2022-02-24,304.314816504311
PO000128,SUP00098,PROD00071,2021-10-08,9,10.55432740890417,2021-10-23,2021-10-28,94.98894668013753
PO000129,SUP00019,PROD00065,2024-04-03,11,48.124027527779674,2024-04-23,2024-04-20,529.3643028055765
PO000130,SUP00080,PROD00148,2023-12-29,8,46.07805050575369,2024-01-08,2024-01-08,368.6244040460295
PO000131,SUP00035,PROD00014,2023-03-20,11,59.78095051817566,2023-04-03,2023-04-02,657.5904556999322
PO000132,SUP00090,PROD00131,2023-09-17,15,36.45785023825364,2023-10-08,2023-10-12,546.8677535738046
PO000133,SUP00068,PROD00098,2023-09-17,11,42.27585742867201,2023-10-05,2023-10-02,465.03443171539215
PO000134,SUP00025,PROD00174,2022-06-28,12,27.850782436200895,2022-07-20,2022-07-24,334.20938923441076
PO000135,SUP00061,PROD00098,2024-02-02,10,25.292413786323955,2024-02-18,2024-02-19,252.92413786323954
PO000136,SUP00070,PROD00091,2023-05-24,12,12.512330918187303,2023-06-10,2023-06-11,150.14797101824763
PO000137,SUP00041,PROD00157,2021-10-25,13,53.888898767440956,2021-11-16,2021-11-15,700.5556839767324
PO000138,SUP00054,PROD00006,2022-01-29,12,6.782765195630634,2022-02-10,2022-02-07,81.3931823475676
PO000139,SUP00063,PROD00053,2022-02-16,14,50.65161445604802,2022-03-12,2022-03-18,709.1226023846723
PO000140,SUP00093,PROD00039,2022-03-07,11,11.402181504704533,2022-03-27,2022-04-01,125.42399655174987
PO000141,SUP00039,PROD00086,2023-10-12,10,4.033199167776205,2023-10-25,2023-10-25,40.33199167776205
PO000142,SUP00081,PROD00016,2021-03-16,10,42.07654285921475,2021-04-09,2021-04-06,420.7654285921475
PO000143,SUP00087,PROD00121,2021-02-06,14,26.85751856217401,2021-02-24,2021-02-26,376.00525987043613
PO000144,SUP00074,PROD00021,2024-03-12,8,25.34407349168972,2024-03-28,2024-03-28,202.75258793351776
PO000145,SUP00100,PROD00051,2023-02-18,9,24.57057284470353,2023-02-28,2023-03-02,221.13515560233176
PO000146,SUP00095,PROD00177,2023-10-12,8,39.97839304189361,2023-11-01,2023-11-03,319.8271443351489
PO000147,SUP00061,PROD00182,2022-03-13,8,21.251036846425954,2022-03-25,2022-03-30,170.00829477140763
PO000148,SUP00005,PROD00109,2023-01-17,13,79.0685555248213,2023-01-27,2023-01-29,1027.891221822677
PO000149,SUP00079,PROD00168,2023-01-11,14,59.902305245070984,2023-01-26,2023-02-01,838.6322734309938
PO000150,SUP00061,PROD00166,2021-07-05,13,54.397913471026,2021-07-23,2021-07-21,707.172875123338
PO000151,SUP00027,PROD00021,2024-02-08,12,28.456517276557456,2024-02-21,2024-02-21,341.47820731868944
PO000152,SUP00050,PROD00084,2022-06-07,8,75.08687738230896,2022-06-23,2022-06-25,600.6950190584716
PO000153,SUP00061,PROD00069,2021-08-24,12,71.21590040922698,2021-09-08,2021-09-12,854.5908049107237
PO000154,SUP00024,PROD00175,2024-03-15,6,31.686401336896928,2024-04-07,2024-04-09,190.11840802138158
PO000155,SUP00036,PROD00158,2021-01-28,9,5.427161311845046,2021-02-07,2021-02-07,48.84445180660541
PO000156,SUP00050,PROD00013,2023-08-31,9,47.215328809881626,2023-09-22,2023-09-28,424.9379592889346
PO000157,SUP00021,PROD00183,2024-03-14,14,30.043404107047465,2024-03-26,2024-03-26,420.6076574986645
PO000158,SUP00082,PROD00132,2021-01-26,11,52.8612793437956,2021-02-07,2021-02-07,581.4740727817516
PO000159,SUP00053,PROD00031,2024-01-21,10,57.72404101039968,2024-02-11,2024-02-15,577.2404101039969
PO000160,SUP00067,PROD00113,2024-01-29,17,76.78897750334757,2024-02-11,2024-02-09,1305.4126175569086
PO000161,SUP00070,PROD00168,2023-01-04,14,53.134238372277395,2023-01-28,2023-01-30,743.8793372118835
PO000162,SUP00039,PROD00162,2022-01-12,15,6.508612449715181,2022-01-28,2022-01-29,97.62918674572771
PO000163,SUP00075,PROD00172,2021-08-16,7,14.73812691777688,2021-09-07,2021-09-06,103.16688842443816
PO000164,SUP00017,PROD00183,2024-01-10,8,48.44587537652952,2024-02-01,2024-02-02,387.56700301223617
PO000165,SUP00091,PROD00003,2022-03-14,6,34.67518261913604,2022-03-28,2022-03-27,208.05109571481623
PO000166,SUP00046,PROD00161,2022-01-16,17,43.70364265851618,2022-01-29,2022-01-28,742.9619251947751
PO000167,SUP00015,PROD00098,2022-10-22,13,41.10228137772518,2022-11-08,2022-11-12,534.3296579104273
PO000168,SUP00018,PROD00012,2022-11-02,15,50.53693753272438,2022-11-18,2022-11-22,758.0540629908658
PO000169,SUP00032,PROD00138,2021-09-18,11,67.2288711101978,2021-10-07,2021-10-05,739.5175822121759
PO000170,SUP00039,PROD00186,2024-01-11,11,63.81439811919461,2024-01-25,2024-01-22,701.9583793111407
PO000171,SUP00001,PROD00091,2022-10-21,13,70.11729890407891,2022-11-13,2022-11-15,911.5248857530258
PO000172,SUP00074,PROD00041,2021-09-11,11,48.81948346894363,2021-09-21,2021-09-27,537.01431815838
PO000173,SUP00006,PROD00057,2023-03-22,16,14.495859713456806,2023-04-10,2023-04-10,231.9337554153089
PO000174,SUP00008,PROD00156,2022-12-02,7,27.077180287142724,2022-12-18,2022-12-17,189.54026200999908
PO000175,SUP00018,PROD00167,2022-08-02,7,11.066622934667247,2022-08-16,2022-08-15,77.46636054267073
PO000176,SUP00093,PROD00140,2022-11-14,9,16.589292096598797,2022-12-05,2022-12-06,149.30362886938917
PO000177,SUP00063,PROD00013,2022-09-01,9,32.40863915112007,2022-09-25,2022-10-01,291.6777523600806
PO000178,SUP00025,PROD00046,2022-08-25,14,3.788707385133108,2022-09-08,2022-09-06,53.041903391863514
PO000179,SUP00083,PROD00103,2022-02-21,10,17.309328475460898,2022-03-11,2022-03-14,173.093284754609
PO000180,SUP00015,PROD00152,2022-02-25,12,33.02629401222724,2022-03-08,2022-03-12,396.3155281467269
PO000181,SUP00092,PROD00165,2021-05-26,14,41.79223521513915,2021-06-13,2021-06-10,585.0912930119481
PO000182,SUP00052,PROD00138,2022-06-08,10,52.82650597256402,2022-06-30,2022-07-02,528.2650597256402
PO000183,SUP00037,PROD00058,2023-06-17,16,45.60126199922565,2023-07-08,2023-07-09,729.6201919876104
PO000184,SUP00029,PROD00016,2023-09-20,12,77.2897392052823,2023-10-03,2023-10-07,927.4768704633876
PO000185,SUP00062,PROD00032,2022-09-04,9,31.7699718575362,2022-09-18,2022-09-20,285.92974671782576
PO000186,SUP00087,PROD00026,2023-01-02,8,65.87456194296625,2023-01-21,2023-01-20,526.99649554373
PO000187,SUP00023,PROD00162,2024-02-21,14,29.971612972115906,2024-03-14,2024-03-11,419.6025816096227
PO000188,SUP00033,PROD00095,2021-06-19,8,38.07007738574453,2021-07-05,2021-07-04,304.56061908595626
PO000189,SUP00015,PROD00099,2021-08-10,15,39.390142597548795,2021-08-29,2021-08-28,590.8521389632319
PO000190,SUP00041,PROD00079,2021-01-22,14,50.31547085031372,2021-02-09,2021-02-06,704.4165919043921
PO000191,SUP00059,PROD00142,2022-08-16,16,77.19545014739256,2022-08-28,2022-08-28,1235.127202358281
PO000192,SUP00025,PROD00102,2022-07-29,12,14.738209861603634,2022-08-16,2022-08-13,176.8585183392436
PO000193,SUP00064,PROD00174,2021-10-07,12,78.08550776059863,2021-10-30,2021-11-04,937.0260931271836
PO000194,SUP00035,PROD00025,2022-03-13,16,12.585993675620168,2022-03-30,2022-04-02,201.3758988099227
PO000195,SUP00001,PROD00035,2023-04-05,14,18.802838040088652,2023-04-21,2023-04-27,263.2397325612411
PO000196,SUP00026,PROD00182,2023-01-22,9,66.1497283841198,2023-02-14,2023-02-16,595.3475554570782
PO000197,SUP00025,PROD00200,2023-07-30,8,47.51866031016184,2023-08-21,2023-08-21,380.14928248129473
PO000198,SUP00005,PROD00050,2022-09-19,10,54.91871662000861,2022-10-04,2022-10-01,549.187166200086
PO000199,SUP00093,PROD00090,2023-07-20,11,42.339841424274915,2023-08-01,2023-07-30,465.7382556670241
PO000200,SUP00005,PROD00043,2023-12-07,11,58.114799571113636,2023-12-30,2023-12-27,639.26279528225
PO000201,SUP00055,PROD00151,2022-08-03,13,40.0139361140126,2022-08-20,2022-08-22,520.1811694821638
PO000202,SUP00061,PROD00196,2021-07-26,16,69.90140588208118,2021-08-17,2021-08-23,1118.4224941132989
PO000203,SUP00010,PROD00076,2023-09-21,13,56.68073872626473,2023-10-11,2023-10-08,736.8496034414414
PO000204,SUP00051,PROD00019,2024-03-15,14,51.676431950130265,2024-03-31,2024-03-28,723.4700473018237
PO000205,SUP00099,PROD00062,2024-01-29,4,79.4687437553216,2024-02-10,2024-02-14,317.8749750212864
PO000206,SUP00006,PROD00056,2023-10-29,10,40.88350629913116,2023-11-19,2023-11-19,408.83506299131164
PO000207,SUP00059,PROD00141,2021-02-09,13,7.4139567874671,2021-03-03,2021-03-01,96.3814382370723
PO000208,SUP00046,PROD00192,2023-03-27,10,10.486540991330493,2023-04-06,2023-04-06,104.86540991330493
PO000209,SUP00055,PROD00069,2022-12-30,8,58.46612772045209,2023-01-14,2023-01-12,467.72902176361674
PO000210,SUP00017,PROD00045,2021-08-08,6,6.7526584253754685,2021-08-25,2021-08-28,40.51595055225281
PO000211,SUP00027,PROD00158,2023-04-06,18,59.66575009734054,2023-04-21,2023-04-23,1073.9835017521298
PO000212,SUP00049,PROD00118,2023-03-19,15,15.490176966638407,2023-04-08,2023-04-13,232.3526544995761
PO000213,SUP00025,PROD00030,2023-11-24,8,3.100645374375672,2023-12-07,2023-12-04,24.805162995005375
PO000214,SUP00093,PROD00189,2022-05-30,8,13.274904997916204,2022-06-09,2022-06-12,106.19923998332963
PO000215,SUP00011,PROD00136,2021-08-01,13,28.413350876486525,2021-08-11,2021-08-15,369.37356139432484
PO000216,SUP00090,PROD00071,2021-01-17,12,45.79691127182774,2021-02-06,2021-02-12,549.5629352619328
PO000217,SUP00050,PROD00105,2023-10-29,14,62.00779720423221,2023-11-11,2023-11-14,868.109160859251
PO000218,SUP00072,PROD00176,2022-10-21,16,54.56760621960172,2022-11-05,2022-11-03,873.0816995136275
PO000219,SUP00029,PROD00047,2021-02-12,9,18.335071763589234,2021-02-28,2021-03-05,165.0156458723031
PO000220,SUP00018,PROD00097,2022-06-14,9,79.28436157769673,2022-06-30,2022-07-05,713.5592541992705
PO000221,SUP00080,PROD00019,2023-11-05,5,42.93062796754863,2023-11-20,2023-11-19,214.65313983774314
PO000222,SUP00073,PROD00088,2022-03-19,9,40.44128141878806,2022-03-30,2022-04-01,363.9715327690925
PO000223,SUP00066,PROD00177,2023-01-24,8,24.50009923829778,2023-02-14,2023-02-16,196.00079390638223
PO000224,SUP00059,PROD00181,2022-05-16,12,15.410631936817218,2022-06-05,2022-06-06,184.92758324180662
PO000225,SUP00097,PROD00156,2022-04-23,15,70.37630679045874,2022-05-16,2022-05-17,1055.644601856881
PO000226,SUP00091,PROD00101,2021-06-03,9,3.764148946288783,2021-06-23,2021-06-21,33.87734051659905
PO000227,SUP00015,PROD00016,2023-11-23,18,35.874447734499334,2023-12-14,2023-12-15,645.740059220988
PO000228,SUP00079,PROD00075,2022-10-28,8,44.92821798818078,2022-11-14,2022-11-14,359.42574390544627
PO000229,SUP00090,PROD00119,2022-01-31,14,6.129705715146155,2022-02-17,2022-02-18,85.81588001204616
PO000230,SUP00011,PROD00154,2021-03-13,17,17.703870518930845,2021-03-31,2021-04-05,300.96579882182436
PO000231,SUP00100,PROD00086,2021-07-10,11,7.4214887223685935,2021-07-26,2021-07-29,81.63637594605453
PO000232,SUP00098,PROD00178,2022-04-28,13,79.00460835025291,2022-05-22,2022-05-26,1027.0599085532879
PO000233,SUP00045,PROD00125,2023-02-22,15,57.36398440397871,2023-03-05,2023-03-09,860.4597660596806
PO000234,SUP00060,PROD00098,2023-12-30,7,57.39076998627282,2024-01-18,2024-01-21,401.7353899039098
PO000235,SUP00065,PROD00124,2024-01-24,11,66.2739350437148,2024-02-06,2024-02-03,729.0132854808628
PO000236,SUP00052,PROD00091,2021-11-08,10,65.33253715884365,2021-11-25,2021-11-24,653.3253715884365
PO000237,SUP00065,PROD00089,2022-08-11,10,13.002941919474768,2022-09-03,2022-09-03,130.02941919474767
PO000238,SUP00092,PROD00144,2021-07-15,10,72.13565098655953,2021-08-05,2021-08-05,721.3565098655953
PO000239,SUP00058,PROD00016,2021-03-29,12,13.575905642877476,2021-04-15,2021-04-14,162.91086771452973
PO000240,SUP00041,PROD00175,2021-08-02,9,75.04487703206426,2021-08-25,2021-08-30,675.4038932885784
PO000241,SUP00089,PROD00131,2021-09-24,6,5.6356369719246,2021-10-17,2021-10-18,33.8138218315476
PO000242,SUP00074,PROD00125,2023-08-02,16,54.22466421746326,2023-08-25,2023-08-22,867.5946274794121
PO000243,SUP00098,PROD00086,2023-05-19,15,12.82786532844362,2023-06-03,2023-06-04,192.4179799266543
PO000244,SUP00011,PROD00112,2022-10-10,11,65.89637280161779,2022-10-28,2022-10-31,724.8601008177957
PO000245,SUP00092,PROD00165,2023-02-27,12,34.802646276309005,2023-03-15,2023-03-19,417.63175531570806
PO000246,SUP00100,PROD00026,2022-10-09,13,37.39546089271738,2022-10-24,2022-10-25,486.14099160532595
PO000247,SUP00012,PROD00179,2021-10-13,9,35.29916667668337,2021-10-26,2021-10-31,317.69250009015036
