Product Card Id,Product Name,Category Name,Department Name,Product Price,TOPSIS_Rank,Optimal_Discount
208,SOLE E35 Elliptical,Strength Training,Footwear,1999.98999,47.0,
793,Hirzl Women's Hybrid Golf Glove,Golf Balls,Outdoors,14.98999977,33.0,0.0
792,Hirzl Men's Hybrid Golf Glove,Golf Balls,Outdoors,14.98999977,33.0,0.0
786,TaylorMade 2014 Purelite Stand Bag,Golf Gloves,Outdoors,179.9900055,29.0,6.242294665999551e-06
778,Bag Boy Beverage Holder,Golf Gloves,Outdoors,24.98999977,29.0,6.242294665999551e-06
777,Bag Boy M330 Push Cart,Golf Gloves,Outdoors,79.98999786,29.0,6.242294665999551e-06
775,Clicgear 8.0 Shoe Brush,Golf Gloves,Outdoors,9.989999771,29.0,6.242294665999551e-06
773,Titleist Small Wheeled Travel Cover,Golf Gloves,Outdoors,249.9900055,29.0,6.242294665999551e-06
771,Clicgear Rovic Cooler Bag,Golf Gloves,Outdoors,39.99000168,29.0,6.242294665999551e-06
768,Titleist Club Glove Travel Cover,Golf Gloves,Outdoors,299.9899902,29.0,6.242294665999551e-06
743,Ogio Race Golf Shoes,Golf Bags & Carts,Outdoors,169.9900055,,
730,LIJA Women's Argyle Golf Polo,Golf Shoes,Outdoors,80.0,34.0,6.242294665999551e-06
728,LIJA Women's Eyelet Sleeveless Golf Polo,Golf Shoes,Outdoors,65.0,34.0,6.242294665999551e-06
725,LIJA Women's Button Golf Dress,Golf Shoes,Outdoors,108.0,34.0,6.242294665999551e-06
724,LIJA Women's Mid-Length Panel Golf Shorts,Golf Shoes,Outdoors,100.0,34.0,6.242294665999551e-06
715,TaylorMade Women's RBZ SL Rescue,Golf Apparel,Outdoors,129.9900055,36.0,
705,Cleveland Golf Women's 588 RTX CB Satin Chrom,Golf Apparel,Outdoors,119.9899979,36.0,
703,Top Flite Women's 2014 XL Hybrid,Golf Apparel,Outdoors,19.98999977,36.0,
691,MDGolf Pittsburgh Penguins Putter,Women's Golf Clubs,Outdoors,79.98999786,18.0,
677,TaylorMade White Smoke IN-12 Putter,Women's Golf Clubs,Outdoors,99.98999786,18.0,
671,Cleveland Golf Collegiate My Custom Wedge 588,Women's Golf Clubs,Outdoors,209.9900055,18.0,
666,Merrell Men's All Out Flash Trail Running Sho,Men's Golf Clubs,Outdoors,109.9899979,10.0,
652,Merrell Women's Grassbow Sport Waterproof Hik,Men's Golf Clubs,Outdoors,129.9900055,10.0,
647,Merrell Women's Siren Mid Waterproof Hiking B,Men's Golf Clubs,Outdoors,134.9900055,10.0,
646,Merrell Women's Grassbow Sport Hiking Shoe,Men's Golf Clubs,Outdoors,99.98999786,10.0,
1361,Toys ,Toys,Fan Shop,11.53999996,11.0,0.0
1073,Pelican Sunstream 100 Kayak,Water Sports,Fan Shop,199.9900055,6.0,0.0
1059,Pelican Maverick 100X Kayak,Water Sports,Fan Shop,349.9899902,6.0,0.0
1014,O'Brien Men's Neoprene Life Vest,Indoor/Outdoor Games,Fan Shop,49.97999954,7.0,0.0
