Geo_Key,Order City,Order State,Order Country,Order Region,Market,Latitude,Longitude
Mirzapur_Uttar Pradesh_India,Mirzapur,Uttar Pradesh,India,South Asia,Pacific Asia,18.38011932,-66.18312836
Bursa_Bursa_Turquía,Bursa,Bursa,Turquía,West Asia,Pacific Asia,18.23557282,-66.3706131
Murray Bridge_Australia del Sur_Australia,Murray Bridge,Australia del Sur,Australia,Oceania,Pacific Asia,18.02536774,-66.61303711
Kartal_Estambul_Turquía,Kartal,Estambul,Turquía,West Asia,Pacific Asia,18.27383804,-66.37063599
Ulan Bator_Ulán Bator_Mongolia,Ulan Bator,Ulán Bator,Mongolia,Eastern Asia,Pacific Asia,18.2848053,-66.37059021
Estambul_Estambul_Turquía,Estambul,Estambul,Turquía,West Asia,Pacific Asia,18.29496765,-66.37050629
Raipur_Rajastán_India,Raipur,Rajastán,India,South Asia,Pacific Asia,18.25571251,-66.37050629
Pasco_Washington_Estados Unidos,Pasco,Washington,Estados Unidos,West of USA ,USCA,18.23466301,-66.37059784
Los Angeles_California_Estados Unidos,Los Angeles,California,Estados Unidos,West of USA ,USCA,18.26268196,-66.37049866
San Francisco_California_Estados Unidos,San Francisco,California,Estados Unidos,West of USA ,USCA,18.28279495,-66.37055969
Overland Park_Kansas_Estados Unidos,Overland Park,Kansas,Estados Unidos,US Center ,USCA,18.27466202,-66.37058258
Ugep_Cross River_Nigeria,Ugep,Cross River,Nigeria,West Africa,Africa,18.2689991,-66.37049866
Kinshasa_Kinshasa_República Democrática del Congo,Kinshasa,Kinshasa,República Democrática del Congo,Central Africa,Africa,18.2308178,-66.37052155
Dakar_Dakar_Senegal,Dakar,Dakar,Senegal,West Africa,Africa,18.26138115,-66.37056732
Casablanca_Gran Casablanca_Marruecos,Casablanca,Gran Casablanca,Marruecos,North Africa,Africa,18.23650742,-66.37051392
Dortmund_Renania del Norte-Westfalia_Alemania,Dortmund,Renania del Norte-Westfalia,Alemania,Western Europe,Europe,18.35921478,-66.07779694
Drancy_Isla de Francia_Francia,Drancy,Isla de Francia,Francia,Western Europe,Europe,18.29944229,-66.37052155
Nantes_Países del Loira_Francia,Nantes,Países del Loira,Francia,Western Europe,Europe,18.28996849,-66.37054443
Groningen_Groningen_Países Bajos,Groningen,Groningen,Países Bajos,Western Europe,Europe,18.2275734,-66.04563141
Gateshead_Inglaterra_Reino Unido,Gateshead,Inglaterra,Reino Unido,Northern Europe,Europe,18.2988205,-66.37059784
Eastbourne_Inglaterra_Reino Unido,Eastbourne,Inglaterra,Reino Unido,Northern Europe,Europe,18.02538109,-66.61508179
Hayange_Alsacia-Champaña-Ardenas-Lorena_Francia,Hayange,Alsacia-Champaña-Ardenas-Lorena,Francia,Western Europe,Europe,18.25048637,-66.37062836
Portsmouth_Inglaterra_Reino Unido,Portsmouth,Inglaterra,Reino Unido,Northern Europe,Europe,18.24069786,-66.37055969
Gelsenkirchen_Renania del Norte-Westfalia_Alemania,Gelsenkirchen,Renania del Norte-Westfalia,Alemania,Western Europe,Europe,18.26268196,-66.37049866
Nice_Provenza-Alpes-Costa Azul_Francia,Nice,Provenza-Alpes-Costa Azul,Francia,Western Europe,Europe,18.21209908,-66.37050629
Petapa_Guatemala_Guatemala,Petapa,Guatemala,Guatemala,Central America,LATAM,18.23131371,-66.37062836
Mejicanos_San Salvador_El Salvador,Mejicanos,San Salvador,El Salvador,Central America,LATAM,18.29652023,-66.04867554
David_Chiriquí_Panamá,David,Chiriquí,Panamá,Central America,LATAM,18.28746414,-66.37054443
Santo Domingo_Santo Domingo_República Dominicana,Santo Domingo,Santo Domingo,República Dominicana,Caribbean,LATAM,18.29108048,-66.37050629
Cabimas_Zulia_Venezuela,Cabimas,Zulia,Venezuela,South America,LATAM,18.24984551,-66.37050629
Dos Quebradas_Risaralda_Colombia,Dos Quebradas,Risaralda,Colombia,South America,LATAM,18.24754334,-66.0253067
Ilopango_San Salvador_El Salvador,Ilopango,San Salvador,El Salvador,Central America,LATAM,18.27673721,-66.37055206
Tegucigalpa_Francisco Morazán_Honduras,Tegucigalpa,Francisco Morazán,Honduras,Central America,LATAM,18.2968483,-66.37050629
Juazeiro_Bahía_Brasil,Juazeiro,Bahía,Brasil,South America,LATAM,18.29609299,-66.37050629
Mexico City_Distrito Federal_México,Mexico City,Distrito Federal,México,Central America,LATAM,18.2105732,-66.37058258
Tlaquepaque_Jalisco_México,Tlaquepaque,Jalisco,México,Central America,LATAM,18.20111656,-66.37059021
Puebla_Puebla_México,Puebla,Puebla,México,Central America,LATAM,18.21469116,-66.37051392
São Paulo_São Paulo_Brasil,São Paulo,São Paulo,Brasil,South America,LATAM,18.20666885,-66.37056732
Montevideo_Montevideo_Uruguay,Montevideo,Montevideo,Uruguay,South America,LATAM,18.35907555,-66.07783508
Buenos Aires_Buenos Aires_Argentina,Buenos Aires,Buenos Aires,Argentina,South America,LATAM,18.26378822,-66.37052918
Barueri_São Paulo_Brasil,Barueri,São Paulo,Brasil,South America,LATAM,18.22487068,-66.37052155
Arapongas_Paraná_Brasil,Arapongas,Paraná,Brasil,South America,LATAM,18.25061035,-66.37062836
Camagüey_Camagüey_Cuba,Camagüey,Camagüey,Cuba,Caribbean,LATAM,18.27340317,-66.37052155
Las Tunas_Las Tunas_Cuba,Las Tunas,Las Tunas,Cuba,Caribbean,LATAM,18.29137993,-66.3705368
Tepic_Nayarit_México,Tepic,Nayarit,México,Central America,LATAM,18.27920532,-66.37055206
San Miguelito_Panamá_Panamá,San Miguelito,Panamá,Panamá,Central America,LATAM,17.98249054,-66.1126709
Ixtapaluca_México_México,Ixtapaluca,México,México,Central America,LATAM,18.24496079,-66.3705368
Maceió_Alagoas_Brasil,Maceió,Alagoas,Brasil,South America,LATAM,18.28453636,-66.37060547
Belo Horizonte_Minas Gerais_Brasil,Belo Horizonte,Minas Gerais,Brasil,South America,LATAM,18.22172546,-66.37059021
Santiago de Cuba_Santiago de Cuba_Cuba,Santiago de Cuba,Santiago de Cuba,Cuba,Caribbean,LATAM,18.25333214,-66.37051392
San Pedro Sula_Cortés_Honduras,San Pedro Sula,Cortés,Honduras,Central America,LATAM,18.22976875,-66.37052918
Lima_Lima (ciudad)_Perú,Lima,Lima (ciudad),Perú,South America,LATAM,18.22978401,-66.37054443
Holguín_Holguín_Cuba,Holguín,Holguín,Cuba,Caribbean,LATAM,18.22758102,-66.04357147
Orizaba_Veracruz_México,Orizaba,Veracruz,México,Central America,LATAM,18.22297287,-66.37059021
Managua_Managua_Nicaragua,Managua,Managua,Nicaragua,Central America,LATAM,18.24120712,-66.37050629
Villahermosa_Tabasco_México,Villahermosa,Tabasco,México,Central America,LATAM,18.05199051,-66.50184631
Quixadá_Ceará_Brasil,Quixadá,Ceará,Brasil,South America,LATAM,18.20664215,-66.37052918
Mixco_Guatemala_Guatemala,Mixco,Guatemala,Guatemala,Central America,LATAM,17.98249054,-66.1126709
Nueva Gerona_Isla de la Juventud_Cuba,Nueva Gerona,Isla de la Juventud,Cuba,Caribbean,LATAM,18.22776032,-66.37059021
Chimaltenango_Chimaltenango_Guatemala,Chimaltenango,Chimaltenango,Guatemala,Central America,LATAM,18.21949196,-66.37052918
Villa Nueva_Guatemala_Guatemala,Villa Nueva,Guatemala,Guatemala,Central America,LATAM,18.25289154,-66.37058258
Quito_Pichincha_Ecuador,Quito,Pichincha,Ecuador,South America,LATAM,18.22985077,-66.37062073
Valle de La Pascua_Guárico_Venezuela,Valle de La Pascua,Guárico,Venezuela,South America,LATAM,18.26019096,-66.37052918
Cotia_São Paulo_Brasil,Cotia,São Paulo,Brasil,South America,LATAM,18.25534058,-66.37050629
Itapecuru Mirim_Marañón_Brasil,Itapecuru Mirim,Marañón,Brasil,South America,LATAM,18.23215866,-66.37059021
León_León_Nicaragua,León,León,Nicaragua,Central America,LATAM,18.20737648,-66.37055206
Tlalpan_Distrito Federal_México,Tlalpan,Distrito Federal,México,Central America,LATAM,18.27331543,-66.37060547
Apopa_San Salvador_El Salvador,Apopa,San Salvador,El Salvador,Central America,LATAM,18.2626648,-66.3706131
Cipolletti_Río Negro_Argentina,Cipolletti,Río Negro,Argentina,South America,LATAM,18.26016426,-66.37059021
La Ceiba_Atlántida_Honduras,La Ceiba,Atlántida,Honduras,Central America,LATAM,18.21775055,-66.37060547
Córdoba_Veracruz_México,Córdoba,Veracruz,México,Central America,LATAM,18.29214859,-66.3706131
Kuito_Bié_Angola,Kuito,Bié,Angola,Central Africa,Africa,18.26737404,-66.37062836
Jartum_Jartum_Sudán,Jartum,Jartum,Sudán,North Africa,Africa,18.29659462,-66.37059021
Hargeysa_Gobolka Woqooyi Galbeed_Somalia,Hargeysa,Gobolka Woqooyi Galbeed,Somalia,East Africa,Africa,18.27468491,-66.37056732
Kenitra_Garb-Chrarda-Beni Hsen_Marruecos,Kenitra,Garb-Chrarda-Beni Hsen,Marruecos,North Africa,Africa,18.21944618,-66.37057495
Abidjan_Lagunes_Costa de Marfil,Abidjan,Lagunes,Costa de Marfil,West Africa,Africa,18.23975563,-66.37059021
Abu Kabir_Ash Sharqiyah_Egipto,Abu Kabir,Ash Sharqiyah,Egipto,North Africa,Africa,18.2643261,-66.37060547
Perugia_Umbría_Italia,Perugia,Umbría,Italia,Southern Europe,Europe,18.27085495,-66.03705597
Nuremberg_Bavaria_Alemania,Nuremberg,Bavaria,Alemania,Western Europe,Europe,18.23665237,-66.0370636
Reims_Alsacia-Champaña-Ardenas-Lorena_Francia,Reims,Alsacia-Champaña-Ardenas-Lorena,Francia,Western Europe,Europe,18.28206062,-66.03705597
Halle_Sajonia-Anhalt_Alemania,Halle,Sajonia-Anhalt,Alemania,Western Europe,Europe,18.21524239,-66.03705597
Bremerhaven_Bremen_Alemania,Bremerhaven,Bremen,Alemania,Western Europe,Europe,18.25598526,-66.03705597
Portici_Campania_Italia,Portici,Campania,Italia,Southern Europe,Europe,18.28172112,-66.03705597
Bielefeld_Renania del Norte-Westfalia_Alemania,Bielefeld,Renania del Norte-Westfalia,Alemania,Western Europe,Europe,18.23458481,-66.03705597
London_Inglaterra_Reino Unido,London,Inglaterra,Reino Unido,Northern Europe,Europe,18.25249672,-66.03704834
Duisburg_Renania del Norte-Westfalia_Alemania,Duisburg,Renania del Norte-Westfalia,Alemania,Western Europe,Europe,18.28042221,-66.0370636
Bradford_Inglaterra_Reino Unido,Bradford,Inglaterra,Reino Unido,Northern Europe,Europe,18.23288918,-66.0370636
Agrigento_Sicilia_Italia,Agrigento,Sicilia,Italia,Southern Europe,Europe,18.22864342,-66.0370636
Oldham_Inglaterra_Reino Unido,Oldham,Inglaterra,Reino Unido,Northern Europe,Europe,18.29532433,-66.03705597
Palermo_Sicilia_Italia,Palermo,Sicilia,Italia,Southern Europe,Europe,18.24217796,-66.0370636
Madrid_Madrid_España,Madrid,Madrid,España,Southern Europe,Europe,18.25569725,-66.0370636
Nancy_Alsacia-Champaña-Ardenas-Lorena_Francia,Nancy,Alsacia-Champaña-Ardenas-Lorena,Francia,Western Europe,Europe,18.26639938,-66.0370636
Girona_Cataluña_España,Girona,Cataluña,España,Southern Europe,Europe,18.23524284,-66.03705597
Laon_Norte-Paso de Calais-Picardía_Francia,Laon,Norte-Paso de Calais-Picardía,Francia,Western Europe,Europe,18.25786781,-66.03705597
Hartlepool_Inglaterra_Reino Unido,Hartlepool,Inglaterra,Reino Unido,Northern Europe,Europe,18.22337914,-66.03705597
Pontault-Combault_Isla de Francia_Francia,Pontault-Combault,Isla de Francia,Francia,Western Europe,Europe,18.23107529,-66.03705597
La Rochelle_Aquitania-Lemosín-Poitou-Charentes_Francia,La Rochelle,Aquitania-Lemosín-Poitou-Charentes,Francia,Western Europe,Europe,18.26862907,-66.03705597
Edinburgh_Escocia_Reino Unido,Edinburgh,Escocia,Reino Unido,Northern Europe,Europe,18.22708893,-66.0370636
Acerra_Campania_Italia,Acerra,Campania,Italia,Southern Europe,Europe,18.23437882,-66.03705597
Hanover_Baja Sajonia_Alemania,Hanover,Baja Sajonia,Alemania,Western Europe,Europe,18.29236603,-66.0370636
Manchester_Inglaterra_Reino Unido,Manchester,Inglaterra,Reino Unido,Northern Europe,Europe,18.21356773,-66.0370636
Messina_Sicilia_Italia,Messina,Sicilia,Italia,Southern Europe,Europe,18.2920475,-66.0370636
Wilhelmshaven_Baja Sajonia_Alemania,Wilhelmshaven,Baja Sajonia,Alemania,Western Europe,Europe,18.24609184,-66.0370636
Letchworth_Inglaterra_Reino Unido,Letchworth,Inglaterra,Reino Unido,Northern Europe,Europe,18.20939446,-66.03705597
Kilwinning_Escocia_Reino Unido,Kilwinning,Escocia,Reino Unido,Northern Europe,Europe,18.29184341,-66.03704834
Villeneuve-le-Roi_Isla de Francia_Francia,Villeneuve-le-Roi,Isla de Francia,Francia,Western Europe,Europe,18.2275734,-66.0437088
Barakaldo_País Vasco_España,Barakaldo,País Vasco,España,Southern Europe,Europe,18.28542137,-66.37056732
Estocolmo_Estocolmo_Suecia,Estocolmo,Estocolmo,Suecia,Northern Europe,Europe,18.24692345,-66.37057495
Aylesbury_Inglaterra_Reino Unido,Aylesbury,Inglaterra,Reino Unido,Northern Europe,Europe,18.23379898,-66.37056732
Langenhagen_Baja Sajonia_Alemania,Langenhagen,Baja Sajonia,Alemania,Western Europe,Europe,18.24496079,-66.3705368
Birmingham_Inglaterra_Reino Unido,Birmingham,Inglaterra,Reino Unido,Northern Europe,Europe,18.23220825,-66.37062836
Amsterdam_Holanda Septentrional_Países Bajos,Amsterdam,Holanda Septentrional,Países Bajos,Western Europe,Europe,18.26521111,-66.37055206
Viena_Viena_Austria,Viena,Viena,Austria,Western Europe,Europe,18.28570366,-66.37050629
Houston_Texas_Estados Unidos,Houston,Texas,Estados Unidos,US Center ,USCA,40.65486527,-73.58707428
Gilbert_Arizona_Estados Unidos,Gilbert,Arizona,Estados Unidos,West of USA ,USCA,38.74266434,-76.9917984
San Jose_California_Estados Unidos,San Jose,California,Estados Unidos,West of USA ,USCA,35.36254501,-119.0186996
Fresno_California_Estados Unidos,Fresno,California,Estados Unidos,West of USA ,USCA,40.74210739,-73.86962128
Peoria_Arizona_Estados Unidos,Peoria,Arizona,Estados Unidos,West of USA ,USCA,39.28849411,-84.3551178
Cincinnati_Ohio_Estados Unidos,Cincinnati,Ohio,Estados Unidos,East of USA,USCA,39.1836586,-77.26545715
Columbus_Indiana_Estados Unidos,Columbus,Indiana,Estados Unidos,US Center ,USCA,32.96593094,-96.84902191
Ottawa_Ontario_Canada,Ottawa,Ontario,Canada,Canada,USCA,29.83435631,-95.33792877
Kitchener_Ontario_Canada,Kitchener,Ontario,Canada,Canada,USCA,40.2372818,-76.96795654
Philadelphia_Pensilvania_Estados Unidos,Philadelphia,Pensilvania,Estados Unidos,East of USA,USCA,34.20339966,-118.6059036
Des Plaines_Illinois_Estados Unidos,Des Plaines,Illinois,Estados Unidos,US Center ,USCA,21.31185532,-158.0046844
Elmhurst_Illinois_Estados Unidos,Elmhurst,Illinois,Estados Unidos,US Center ,USCA,40.09635925,-74.21524048
Antananarivo_Analamanga_Madagascar,Antananarivo,Analamanga,Madagascar,East Africa,Africa,43.21662521,-75.45603943
Algiers_Alger_Argelia,Algiers,Alger,Argelia,North Africa,Africa,33.21121979,-117.2510605
Monrovia_Montserrado_Liberia,Monrovia,Montserrado,Liberia,West Africa,Africa,32.8013916,-97.3302536
Gagnoa_Fromager_Costa de Marfil,Gagnoa,Fromager,Costa de Marfil,West Africa,Africa,39.79661942,-75.47006989
Livingstone_Meridional_Zambia,Livingstone,Meridional,Zambia,East Africa,Africa,34.07656479,-117.61409
Fes_Fez-Bulmán_Marruecos,Fes,Fez-Bulmán,Marruecos,North Africa,Africa,28.62217712,-81.20755768
Cairo_El Cairo_Egipto,Cairo,El Cairo,Egipto,North Africa,Africa,42.9666214,-78.74194336
Hurghada_Al Bahr al Ahmar_Egipto,Hurghada,Al Bahr al Ahmar,Egipto,North Africa,Africa,33.18587494,-117.3658524
Niamey_Niamey_Níger,Niamey,Niamey,Níger,West Africa,Africa,38.69002152,-90.14477539
Sale_Rabat-Salé-Zemur-Zaer_Marruecos,Sale,Rabat-Salé-Zemur-Zaer,Marruecos,North Africa,Africa,42.41968918,-71.10621643
Pretoria_Gauteng_SudAfrica,Pretoria,Gauteng,SudAfrica,Southern Africa,Africa,34.04991913,-117.7161026
Marrakech_Marrakech-Tensift-Al Hauz_Marruecos,Marrakech,Marrakech-Tensift-Al Hauz,Marruecos,North Africa,Africa,33.41519928,-111.9199905
Bur Sudan_Mar Rojo_Sudán,Bur Sudan,Mar Rojo,Sudán,North Africa,Africa,33.74279404,-117.8847504
Lagos_Lagos_Nigeria,Lagos,Lagos,Nigeria,West Africa,Africa,39.9602356,-76.67675781
Quelimane_Zambezia_Mozambique,Quelimane,Zambezia,Mozambique,East Africa,Africa,34.27391052,-118.7662125
Port Elizabeth_Cabo Oriental_SudAfrica,Port Elizabeth,Cabo Oriental,SudAfrica,Southern Africa,Africa,39.04636002,-76.98272705
Shinyanga_Shinyanga_Tanzania,Shinyanga,Shinyanga,Tanzania,East Africa,Africa,44.72552109,-93.20613098
Kismaayo_Jubbada Hoose_Somalia,Kismaayo,Jubbada Hoose,Somalia,East Africa,Africa,29.45598984,-98.52809143
Butare_Meridional_Ruanda,Butare,Meridional,Ruanda,East Africa,Africa,39.95672989,-75.19525909
Newcastle_KwaZulu-Natal_SudAfrica,Newcastle,KwaZulu-Natal,SudAfrica,Southern Africa,Africa,40.86353684,-73.87049866
Jerusalén_Jerusalén_Israel,Jerusalén,Jerusalén,Israel,West Asia,Pacific Asia,40.80119324,-74.48561096
Gold Coast_Queensland_Australia,Gold Coast,Queensland,Australia,Oceania,Pacific Asia,32.77627945,-117.1342163
Newcastle_Nueva Gales del Sur_Australia,Newcastle,Nueva Gales del Sur,Australia,Oceania,Pacific Asia,34.19039154,-119.177803
Porirua_Wellington_Nueva Zelanda,Porirua,Wellington,Nueva Zelanda,Oceania,Pacific Asia,25.82507515,-80.19588471
Mildura_Victoria_Australia,Mildura,Victoria,Australia,Oceania,Pacific Asia,35.13143921,-106.5452042
Daca_Daca_Bangladés,Daca,Daca,Bangladés,South Asia,Pacific Asia,28.08681297,-82.43898773
Kanpur_Uttar Pradesh_India,Kanpur,Uttar Pradesh,India,South Asia,Pacific Asia,44.07210541,-12.13232708
Bangkok_Bangkok_Tailandia,Bangkok,Bangkok,Tailandia,Southeast Asia,Pacific Asia,40.41255188,-74.41832733
Bagdad_Bagdad_Irak,Bagdad,Bagdad,Irak,West Asia,Pacific Asia,34.06832504,-117.6557541
Adana_Adana_Turquía,Adana,Adana,Turquía,West Asia,Pacific Asia,29.7805748,-95.17199707
Riyadh_Riad_Arabia Saudí,Riyadh,Riad,Arabia Saudí,West Asia,Pacific Asia,37.05174255,-76.40163422
Shenzhen_Guangdong_China,Shenzhen,Guangdong,China,Eastern Asia,Pacific Asia,40.74559021,-73.97927856
Tianjin_Tianjin_China,Tianjin,Tianjin,China,Eastern Asia,Pacific Asia,35.93829727,-118.9438477
Perth_Australia Occidental_Australia,Perth,Australia Occidental,Australia,Oceania,Pacific Asia,45.59825897,-12.27242851
Dunedin_Otago_Nueva Zelanda,Dunedin,Otago,Nueva Zelanda,Oceania,Pacific Asia,41.3469696,-81.82631683
Melbourne_Victoria_Australia,Melbourne,Victoria,Australia,Oceania,Pacific Asia,31.65174103,-106.2676239
Ulhasnagar_Maharashtra_India,Ulhasnagar,Maharashtra,India,South Asia,Pacific Asia,29.77310181,-100.6121979
Manila_Capital Nacional_Filipinas,Manila,Capital Nacional,Filipinas,Southeast Asia,Pacific Asia,42.9666214,-78.74194336
Mersin_Mersin_Turquía,Mersin,Mersin,Turquía,West Asia,Pacific Asia,40.86649323,-111.8493271
Temirtau_Karagandá_Kazajistán,Temirtau,Karagandá,Kazajistán,Central Asia,Pacific Asia,47.39371109,-122.2228317
Tengzhou_Shandong_China,Tengzhou,Shandong,China,Eastern Asia,Pacific Asia,41.74866486,-87.66320038
Nantong_Jiangsu_China,Nantong,Jiangsu,China,Eastern Asia,Pacific Asia,41.95851135,-70.66861725
Dalian_Liaoning_China,Dalian,Liaoning,China,Eastern Asia,Pacific Asia,40.59949493,-73.76248169
Lianyuan_Hunan_China,Lianyuan,Hunan,China,Eastern Asia,Pacific Asia,29.66958237,-95.24147034
Caloundra_Queensland_Australia,Caloundra,Queensland,Australia,Oceania,Pacific Asia,40.01562119,-75.08410645
Bendigo_Victoria_Australia,Bendigo,Victoria,Australia,Oceania,Pacific Asia,42.39807892,-83.20157623
Adelaide_Australia del Sur_Australia,Adelaide,Australia del Sur,Australia,Oceania,Pacific Asia,33.77366638,-118.0033035
Ajmer_Rajastán_India,Ajmer,Rajastán,India,South Asia,Pacific Asia,32.74953461,-117.1046524
Kerman_Kerman_Irán,Kerman,Kerman,Irán,South Asia,Pacific Asia,41.89551926,-87.71821594
Vadodara_Guyarat_India,Vadodara,Guyarat,India,South Asia,Pacific Asia,33.99459839,-117.9534302
Semarang_Java Central_Indonesia,Semarang,Java Central,Indonesia,Southeast Asia,Pacific Asia,37.32554245,-121.7993469
Cirebon_Java Occidental_Indonesia,Cirebon,Java Occidental,Indonesia,Southeast Asia,Pacific Asia,21.30562019,-157.8386993
Rangún_Rangún_Myanmar (Birmania),Rangún,Rangún,Myanmar (Birmania),Southeast Asia,Pacific Asia,41.71363831,-81.36167908
Kütahya_Kütahya_Turquía,Kütahya,Kütahya,Turquía,West Asia,Pacific Asia,37.34306717,-121.9839325
Namangán_Namangán_Uzbekistán,Namangán,Namangán,Uzbekistán,Central Asia,Pacific Asia,33.79319763,-118.1895294
Xinzhou_Hubei_China,Xinzhou,Hubei,China,Eastern Asia,Pacific Asia,33.75820923,-118.0019073
Mudanjiang_Heilongjiang_China,Mudanjiang,Heilongjiang,China,Eastern Asia,Pacific Asia,26.21472931,-80.23004913
Lokossa_Mono_Benín,Lokossa,Mono,Benín,West Africa,Africa,34.13932037,-117.9074402
Ikot Ekpene_Akwa Ibom_Nigeria,Ikot Ekpene,Akwa Ibom,Nigeria,West Africa,Africa,26.0984993,-80.27095032
Warri_Delta_Nigeria,Warri,Delta,Nigeria,West Africa,Africa,29.46007919,-98.52754211
Bandundu_Bandundu_República Democrática del Congo,Bandundu,Bandundu,República Democrática del Congo,Central Africa,Africa,40.35742188,-74.64842224
Foumban_Ouest_Camerún,Foumban,Ouest,Camerún,Central Africa,Africa,25.93001556,-80.16291046
Luanda_Luanda_Angola,Luanda,Luanda,Angola,Central Africa,Africa,39.27056122,-84.27059174
Maiduguri_Borno_Nigeria,Maiduguri,Borno,Nigeria,West Africa,Africa,36.91083145,-76.12958527
Nairobi_Nairobi_Kenia,Nairobi,Nairobi,Kenia,East Africa,Africa,38.15983963,-85.59026337
Kitwe_Copperbelt_Zambia,Kitwe,Copperbelt,Zambia,East Africa,Africa,43.16891098,-78.69216156
Nkongsamba_Littoral_Camerún,Nkongsamba,Littoral,Camerún,Central Africa,Africa,40.58441544,-74.15991974
Mbuji-mayi_Kasai Oriental_República Democrática del Congo,Mbuji-mayi,Kasai Oriental,República Democrática del Congo,Central Africa,Africa,32.27982712,-110.9582291
Lome_Marítima_Togo,Lome,Marítima,Togo,West Africa,Africa,41.92736816,-70.7484436
Mahajanga_Boeny_Madagascar,Mahajanga,Boeny,Madagascar,East Africa,Africa,42.42012024,-79.31320953
Kano_Kano_Nigeria,Kano,Kano,Nigeria,West Africa,Africa,35.18754196,-101.8676224
Annaba_Annaba_Argelia,Annaba,Annaba,Argelia,North Africa,Africa,39.45571137,-77.96917725
Cotonou_Littoral_Benín,Cotonou,Littoral,Benín,West Africa,Africa,40.56959915,-89.64508057
Dar es Salaam_Dar es Salaam_Tanzania,Dar es Salaam,Dar es Salaam,Tanzania,East Africa,Africa,30.35342217,-81.51309204
Cape Town_Cabo Occidental_SudAfrica,Cape Town,Cabo Occidental,SudAfrica,Southern Africa,Africa,38.1355629,-121.2693405
Montpellier_Languedoc-Rosellón-Mediodía-Pirineos_Francia,Montpellier,Languedoc-Rosellón-Mediodía-Pirineos,Francia,Western Europe,Europe,41.7158165,-87.7405777
Khmelnytskyi_Khmelnytskyi_Ucrania,Khmelnytskyi,Khmelnytskyi,Ucrania,Eastern Europe,Europe,42.39391327,-83.00836945
Vannes_Bretaña_Francia,Vannes,Bretaña,Francia,Western Europe,Europe,34.10591126,-118.1196442
Fuenlabrada_Madrid_España,Fuenlabrada,Madrid,España,Southern Europe,Europe,42.34568787,-83.52059174
Villemomble_Isla de Francia_Francia,Villemomble,Isla de Francia,Francia,Western Europe,Europe,43.02910233,-78.87342072
Gien_Centro-Valle de Loira_Francia,Gien,Centro-Valle de Loira,Francia,Western Europe,Europe,30.0380249,-90.25691986
Neuilly-sur-Seine_Isla de Francia_Francia,Neuilly-sur-Seine,Isla de Francia,Francia,Western Europe,Europe,40.33852005,-80.1289444
